DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
BARUCH,60,14,MANHATTAN,50,COLUMBIA STREET,50 COLUMBIA STREET,NEW YORK,NY,10002,1078039,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.716712629809,-73.9801123907078
BARUCH,60,15,MANHATTAN,90,COLUMBIA STREET,90 COLUMBIA STREET,NEW YORK,NY,10002,1078040,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7181868611451,-73.9793203035927
BARUCH,60,15,MANHATTAN,80,COLUMBIA STREET,80 COLUMBIA STREET,NEW YORK,NY,10002,1078040,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.718035123422,-73.9793203506732
BARUCH,60,16,MANHATTAN,120,COLUMBIA STREET,120 COLUMBIA STREET,NEW YORK,NY,10002,1078041,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.718856639266,-73.9789550505894
BARUCH,60,16,MANHATTAN,110,COLUMBIA STREET,110 COLUMBIA STREET,NEW YORK,NY,10002,1078041,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7187048882775,-73.9788825777307
BARUCH,60,17,MANHATTAN,140,COLUMBIA STREET,140 COLUMBIA STREET,NEW YORK,NY,10002,1078042,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7193320233042,-73.9787073541654
BARUCH,60,17,MANHATTAN,130,COLUMBIA STREET,130 COLUMBIA STREET,NEW YORK,NY,10002,1078042,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7191894636871,-73.9786107054288
BARUCH HOUSES ADDITION,198,18,MANHATTAN,72,COLUMBIA STREET,72 COLUMBIA STREET,NEW YORK,NY,10002,1078043,323,1,1003230001,1002,MN28,Lower East Side,3,2,74,26,7,40.7170773996465,-73.9792112941287
BAY VIEW,92,1,BROOKLYN,2045,ROCKAWAY PARKWAY,2045 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331421,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.633382859274,-73.8883010687994
BAY VIEW,92,2,BROOKLYN,2055,ROCKAWAY PARKWAY,2055 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331422,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.63372754984,-73.8875954577444
BAY VIEW,92,3,BROOKLYN,9910,SEAVIEW AVENUE,9910 SEAVIEW AVENUE,BROOKLYN,NY,11236,3331425,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6343178538384,-73.8869668499415
BAY VIEW,92,4,BROOKLYN,1550,EAST 102ND STREET,1550 EAST 102ND STREET,BROOKLYN,NY,11236,3331420,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6347022577658,-73.8860634938763
BAY VIEW,92,5,BROOKLYN,1540,EAST 102ND STREET,1540 EAST 102ND STREET,BROOKLYN,NY,11236,3331419,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6351721990888,-73.8855381746922
BAY VIEW,92,6,BROOKLYN,2075,ROCKAWAY PARKWAY,2075 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331424,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6331419476561,-73.8876484996212
BAY VIEW,92,7,BROOKLYN,2065,ROCKAWAY PARKWAY,2065 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331423,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6337067498883,-73.8868611832293
BAY VIEW,92,8,BROOKLYN,1570,EAST 102ND STREET,1570 EAST 102ND STREET,BROOKLYN,NY,11236,3331428,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6341512727648,-73.8862661940178
BAY VIEW,92,9,BROOKLYN,1560,EAST 102ND STREET,1560 EAST 102ND STREET,BROOKLYN,NY,11236,3331427,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6345451960955,-73.8853141746067
BAY VIEW,92,10,BROOKLYN,2105,ROCKAWAY PARKWAY,2105 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331432,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6323853126905,-73.8871977540149
BAY VIEW,92,11,BROOKLYN,2085,ROCKAWAY PARKWAY,2085 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331431,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6330687706819,-73.8868113050973
BAY VIEW,92,12,BROOKLYN,1580,EAST 102ND STREET,1580 EAST 102ND STREET,BROOKLYN,NY,11236,3331429,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6339484409527,-73.8854799762845
BAY VIEW,92,13,BROOKLYN,1590,EAST 102ND STREET,1590 EAST 102ND STREET,BROOKLYN,NY,11236,3331430,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.634185058732,-73.8844465416783
BAY VIEW,92,14,BROOKLYN,2125,ROCKAWAY PARKWAY,2125 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331433,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.632057431276,-73.886440916734
BAY VIEW,92,15,BROOKLYN,2115,ROCKAWAY PARKWAY,2115 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,3331436,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6326806283672,-73.8862981682226
BAY VIEW,92,16,BROOKLYN,5945,SHORE PARKWAY,5945 SHORE PARKWAY,BROOKLYN,NY,11236,3331438,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6324634777768,-73.8855049379849
BAY VIEW,92,17,BROOKLYN,5975,SHORE PARKWAY,5975 SHORE PARKWAY,BROOKLYN,NY,11236,3331439,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6329187576633,-73.8849145019829
BAY VIEW,92,18,BROOKLYN,1610,EAST 102ND STREET,1610 EAST 102ND STREET,BROOKLYN,NY,11236,3331434,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.633558734123,-73.8849508288004
BAY VIEW,92,19,BROOKLYN,1630,EAST 102ND STREET,1630 EAST 102ND STREET,BROOKLYN,NY,11236,3331435,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6335144951244,-73.8841597001558
BAY VIEW,92,20,BROOKLYN,5905,SHORE PARKWAY,5905 SHORE PARKWAY,BROOKLYN,NY,11236,3331437,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6313186682607,-73.8859916521061
BAY VIEW,92,21,BROOKLYN,5935,SHORE PARKWAY,5935 SHORE PARKWAY,BROOKLYN,NY,11236,3331442,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6320163667737,-73.8856577768791
BAY VIEW,92,22,BROOKLYN,5985,SHORE PARKWAY,5985 SHORE PARKWAY,BROOKLYN,NY,11236,3331443,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6330021041239,-73.884219962939
BAY VIEW,92,23,BROOKLYN,5995,SHORE PARKWAY,5995 SHORE PARKWAY,BROOKLYN,NY,11236,3331440,8329,225,3083290225,1034,BK50,Canarsie,18,46,59,19,8,40.6332605736418,-73.8834112239308
BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,1,QUEENS,40-20,BEACH CHANNEL DRIVE,40-20 BEACH CHANNEL DRIVE,FAR ROCKAWAY,NY,11691,4302142,15960,60,4159600060,97203,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.5959903410896,-73.7733377221032
BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,1,QUEENS,433,BEACH 40TH STREET,433 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691,4302142,15960,60,4159600060,97203,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.5967295838168,-73.7728576472735
BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,2,QUEENS,453,BEACH 40TH STREET,453 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691,4529514,15960,60,4159600060,97203,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.597129402601,-73.7727855923224
BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,3,QUEENS,438,BEACH 40TH STREET,438 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691,4302129,15955,3,4159550003,97203,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.5968632473426,-73.7720205854718
BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,3,QUEENS,38-08,BEACH CHANNEL DRIVE,38-08 BEACH CHANNEL DRIVE,FAR ROCKAWAY,NY,11691,4302129,15955,3,4159550003,97203,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.5962128181865,-73.7713940170117
BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,4,QUEENS,456,BEACH 40TH STREET,456 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691,4463046,15955,3,4159550003,97203,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.5971764432363,-73.7722491788421
BEDFORD-STUYVESANT REHAB,311,1,BROOKLYN,701,WILLOUGHBY AVENUE,701 WILLOUGHBY AVENUE,BROOKLYN,NY,11206,3402532,1761,45,3017610045,283,BK35,Stuyvesant Heights,3,36,54,18,8,40.69490322531,-73.9410344194706
BEDFORD-STUYVESANT REHAB,311,2,BROOKLYN,671,WILLOUGHBY AVENUE,671 WILLOUGHBY AVENUE,BROOKLYN,NY,11206,3048928,1761,63,3017610063,283,BK35,Stuyvesant Heights,3,36,54,18,8,40.6947610933363,-73.942336291647
BEDFORD-STUYVESANT REHAB,311,2,BROOKLYN,675,WILLOUGHBY AVENUE,675 WILLOUGHBY AVENUE,BROOKLYN,NY,11206,3048927,1761,61,3017610061,283,BK35,Stuyvesant Heights,3,36,54,18,8,40.6947810563839,-73.9421577929614
BEDFORD-STUYVESANT REHAB,311,3,BROOKLYN,281,THROOP AVENUE,281 THROOP AVENUE,BROOKLYN,NY,11206,3049204,1769,1,3017690001,283,BK35,Stuyvesant Heights,3,36,54,18,8,40.6940485059109,-73.9430236650832
BEDFORD-STUYVESANT REHAB,311,3,BROOKLYN,213,HART STREET,213 HART STREET,BROOKLYN,NY,11206,3049231,1769,78,3017690078,283,BK35,Stuyvesant Heights,3,36,54,18,8,40.6939689020046,-73.9427362657688
BELMONT-SUTTER AREA,345,1,BROOKLYN,455,BARBEY STREET,455 BARBEY STREET,BROOKLYN,NY,11207,3323714,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6714295920178,-73.8870603014672
BELMONT-SUTTER AREA,345,1,BROOKLYN,459,BARBEY STREET,459 BARBEY STREET,BROOKLYN,NY,11207,3323714,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.671261660846,-73.8870206185808
BELMONT-SUTTER AREA,345,1,BROOKLYN,463,BARBEY STREET,463 BARBEY STREET,BROOKLYN,NY,11207,3323714,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6710989710936,-73.8869767934584
BELMONT-SUTTER AREA,345,2,BROOKLYN,418,JEROME STREET,418 JEROME STREET,BROOKLYN,NY,11207,3323715,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6715220027186,-73.8864033160931
BELMONT-SUTTER AREA,345,2,BROOKLYN,422,JEROME STREET,422 JEROME STREET,BROOKLYN,NY,11207,3323715,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6713635136581,-73.8863622420442
BELMONT-SUTTER AREA,345,2,BROOKLYN,426,JEROME STREET,426 JEROME STREET,BROOKLYN,NY,11207,3323715,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6711987268196,-73.8863197998882
BELMONT-SUTTER AREA,345,3,BROOKLYN,610,BELMONT AVENUE,610 BELMONT AVENUE,BROOKLYN,NY,11207,3323716,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6717761766634,-73.8869258901417
BELMONT-SUTTER AREA,345,3,BROOKLYN,616,BELMONT AVENUE,616 BELMONT AVENUE,BROOKLYN,NY,11207,3323716,4029,1,3040290001,1162,BK82,East New York,5,42,60,19,8,40.6718053570996,-73.8867218715584
BERRY,52,1,STATEN ISLAND,1754,RICHMOND ROAD,1754 RICHMOND ROAD,STATEN ISLAND,NY,10306,5116737,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5873521739617,-74.1031254313335
BERRY,52,1,STATEN ISLAND,1742,RICHMOND ROAD,1742 RICHMOND ROAD,STATEN ISLAND,NY,10306,5116737,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5873696369442,-74.1027524874419
BERRY,52,2,STATEN ISLAND,1726,RICHMOND ROAD,1726 RICHMOND ROAD,STATEN ISLAND,NY,10306,5109572,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5878148758232,-74.1022750425382
BERRY,52,2,STATEN ISLAND,1718,RICHMOND ROAD,1718 RICHMOND ROAD,STATEN ISLAND,NY,10306,5109572,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5880991767595,-74.1023204144878
BERRY,52,3,STATEN ISLAND,30,DONGAN HILLS AVENUE,30 DONGAN HILLS AVENUE,STATEN ISLAND,NY,10306,5109567,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5881693869755,-74.1015663015889
BERRY,52,3,STATEN ISLAND,34,DONGAN HILLS AVENUE,34 DONGAN HILLS AVENUE,STATEN ISLAND,NY,10306,5109567,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5878816888438,-74.1014894714544
BERRY,52,4,STATEN ISLAND,40,DONGAN HILLS AVENUE,40 DONGAN HILLS AVENUE,STATEN ISLAND,NY,10306,5109568,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5876478926062,-74.10105058919
BERRY,52,4,STATEN ISLAND,50,DONGAN HILLS AVENUE,50 DONGAN HILLS AVENUE,STATEN ISLAND,NY,10306,5109568,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5876996026027,-74.1006821881356
BERRY,52,5,STATEN ISLAND,209,JEFFERSON STREET,209 JEFFERSON STREET,STATEN ISLAND,NY,10306,5109569,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5870559025131,-74.1011898045899
BERRY,52,5,STATEN ISLAND,219,JEFFERSON STREET,219 JEFFERSON STREET,STATEN ISLAND,NY,10306,5109569,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5867715949924,-74.1011534248096
BERRY,52,6,STATEN ISLAND,235,JEFFERSON STREET,235 JEFFERSON STREET,STATEN ISLAND,NY,10306,5109570,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5863435303957,-74.1015368519534
BERRY,52,6,STATEN ISLAND,239,JEFFERSON STREET,239 JEFFERSON STREET,STATEN ISLAND,NY,10306,5109570,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5860523699868,-74.101500460668
BERRY,52,7,STATEN ISLAND,51,SEAVER AVENUE,51 SEAVER AVENUE,STATEN ISLAND,NY,10306,5109574,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.58628174992,-74.1022790825456
BERRY,52,7,STATEN ISLAND,45,SEAVER AVENUE,45 SEAVER AVENUE,STATEN ISLAND,NY,10306,5109574,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5865694884892,-74.1023109776125
BERRY,52,8,STATEN ISLAND,29,SEAVER AVENUE,29 SEAVER AVENUE,STATEN ISLAND,NY,10306,5109573,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.5868484940752,-74.1026856924155
BERRY,52,8,STATEN ISLAND,21,SEAVER AVENUE,21 SEAVER AVENUE,STATEN ISLAND,NY,10306,5109573,3532,500,5035320500,11401,SI36,Old Town-Dongan Hills-South Beach,2,50,63,24,11,40.586834452866,-74.1030631332082
BETHUNE GARDENS,160,1,MANHATTAN,1945,AMSTERDAM AVENUE,1945 AMSTERDAM AVENUE,NEW YORK,NY,10032,1062490,2107,59,1021070059,239,MN36,Washington Heights South,12,7,71,30,13,40.8324258484562,-73.9420827949354
BLAND,54,1,QUEENS,40-25,COLLEGE POINT BOULEVARD,40-25 COLLEGE POINT BOULEVARD,FLUSHING,NY,11354,4443444,5037,8,4050370008,871,QN22,Flushing,7,20,40,11,6,40.757410061209,-73.8336033765211
BLAND,54,2,QUEENS,40-05,COLLEGE POINT BOULEVARD,40-05 COLLEGE POINT BOULEVARD,FLUSHING,NY,11354,4443443,5037,8,4050370008,871,QN22,Flushing,7,20,40,11,6,40.7580222170903,-73.8338695232294
BLAND,54,3,QUEENS,133-20,ROOSEVELT AVENUE,133-20 ROOSEVELT AVENUE,FLUSHING,NY,11354,4443446,5037,8,4050370008,871,QN22,Flushing,7,20,40,11,6,40.7582091729557,-73.8333003253876
BLAND,54,4,QUEENS,133-40,ROOSEVELT AVENUE,133-40 ROOSEVELT AVENUE,FLUSHING,NY,11354,4443447,5037,8,4050370008,871,QN22,Flushing,7,20,40,11,6,40.7583887828929,-73.8327395450883
BLAND,54,5,QUEENS,133-50,ROOSEVELT AVENUE,133-50 ROOSEVELT AVENUE,FLUSHING,NY,11354,4443445,5037,8,4050370008,871,QN22,Flushing,7,20,40,11,6,40.7585590460119,-73.8321766133759
BORINQUEN PLAZA I,243,1,BROOKLYN,30,MANHATTAN AVENUE,30 MANHATTAN AVENUE,BROOKLYN,NY,11206,3327986,3105,1,3031050001,491,BK90,East Williamsburg,1,34,53,18,7,40.7032398209299,-73.944123688173
BORINQUEN PLAZA I,243,2,BROOKLYN,60,MOORE STREET,60 MOORE STREET,BROOKLYN,NY,11206,3071508,3105,109,3031050109,491,BK90,East Williamsburg,1,34,53,18,7,40.7035396791406,-73.9435137518875
BORINQUEN PLAZA I,243,3,BROOKLYN,50,MANHATTAN AVENUE,50 MANHATTAN AVENUE,BROOKLYN,NY,11206,3071440,3096,1,3030960001,491,BK90,East Williamsburg,1,34,53,18,7,40.7039685843483,-73.9442478857667
BORINQUEN PLAZA I,243,4,BROOKLYN,70,SEIGEL STREET,70 SEIGEL STREET,BROOKLYN,NY,11206,3071441,3096,14,3030960014,491,BK90,East Williamsburg,1,34,53,18,7,40.7043044585438,-73.9435999221028
BORINQUEN PLAZA I,243,5,BROOKLYN,125,SEIGEL STREET,125 SEIGEL STREET,BROOKLYN,NY,11206,3071355,3080,50,3030800050,493,BK78,Bushwick South,1,34,53,18,7,40.7046482026754,-73.9417837480675
BORINQUEN PLAZA I,243,6,BROOKLYN,101,HUMBOLDT STREET,101 HUMBOLDT STREET,BROOKLYN,NY,11206,3071354,3080,40,3030800040,493,BK78,Bushwick South,1,34,53,18,7,40.7049325704172,-73.9412107649155
BORINQUEN PLAZA I,243,7,BROOKLYN,111,HUMBOLDT STREET,111 HUMBOLDT STREET,BROOKLYN,NY,11206,3071356,3080,70,3030800070,493,BK78,Bushwick South,1,34,53,18,7,40.7051842132127,-73.9419457045238
BORINQUEN PLAZA I,243,8,BROOKLYN,160,BOERUM STREET,160 BOERUM STREET,BROOKLYN,NY,11206,3327973,3080,10,3030800010,493,BK78,Bushwick South,1,34,53,18,7,40.7056138969,-73.942151496042
BORINQUEN PLAZA II,271,9,BROOKLYN,110,HUMBOLDT STREET,110 HUMBOLDT STREET,BROOKLYN,NY,11206,3071363,3081,80,3030810080,493,BK78,Bushwick South,1,34,53,18,7,40.7049789208639,-73.9409244765375
BORINQUEN PLAZA II,271,10,BROOKLYN,130,HUMBOLDT STREET,130 HUMBOLDT STREET,BROOKLYN,NY,11206,3071357,3081,1,3030810001,493,BK78,Bushwick South,1,34,53,18,7,40.7057681180777,-73.9410607073302
BORINQUEN PLAZA II,271,11,BROOKLYN,155,SEIGEL STREET,155 SEIGEL STREET,BROOKLYN,NY,11206,3071360,3081,60,3030810060,493,BK78,Bushwick South,1,34,53,18,7,40.7047954141974,-73.9402017373701
BORINQUEN PLAZA II,271,12,BROOKLYN,124,HUMBOLDT STREET,124 HUMBOLDT STREET,BROOKLYN,NY,11206,3071362,3081,75,3030810075,493,BK78,Bushwick South,1,34,53,18,7,40.7056417082929,-73.9403431088101
BORINQUEN PLAZA II,271,13,BROOKLYN,120,HUMBOLDT STREET,120 HUMBOLDT STREET,BROOKLYN,NY,11206,3071361,3081,70,3030810070,493,BK78,Bushwick South,1,34,53,18,7,40.7053453275188,-73.9402964545427
BORINQUEN PLAZA II,271,14,BROOKLYN,330,BUSHWICK AVENUE,330 BUSHWICK AVENUE,BROOKLYN,NY,11206,3071359,3081,50,3030810050,493,BK78,Bushwick South,1,34,53,18,7,40.7051380216563,-73.9395734459737
BORINQUEN PLAZA II,271,15,BROOKLYN,300,BUSHWICK AVENUE,300 BUSHWICK AVENUE,BROOKLYN,NY,11206,3071358,3081,40,3030810040,493,BK78,Bushwick South,1,34,53,18,7,40.7058407725194,-73.9396878513987
BOSTON ROAD PLAZA,189,1,BRONX,2440,BOSTON ROAD,2440 BOSTON ROAD,BRONX,NY,10467,2093400,4431,1,2044310001,330,BX07,Bronxdale,11,13,80,34,14,40.862302519357,-73.8660491105159
BOSTON SECOR,138,1,BRONX,3475,BIVONA STREET,3475 BIVONA STREET,BRONX,NY,10475,2093876,5263,40,2052630040,46202,BX13,Co-op City,12,12,83,36,16,40.8820788009168,-73.8335006431809
BOSTON SECOR,138,2,BRONX,3555,BIVONA STREET,3555 BIVONA STREET,BRONX,NY,10475,2093875,5263,40,2052630040,46202,BX13,Co-op City,12,12,83,36,16,40.8827960672032,-73.8338778298021
BOSTON SECOR,138,3,BRONX,3550,BIVONA STREET,3550 BIVONA STREET,BRONX,NY,10475,2093879,5263,70,2052630070,46202,BX13,Co-op City,12,12,83,36,16,40.8830868345853,-73.832733596545
BOSTON SECOR,138,4,BRONX,2175,REEDS MILL LANE,2175 REEDS MILL LANE,BRONX,NY,10475,2093877,5263,70,2052630070,46202,BX13,Co-op City,12,12,83,36,16,40.8825566149135,-73.8321005937678
BOULEVARD,46,1,BROOKLYN,785,SCHENCK AVENUE,785 SCHENCK AVENUE,BROOKLYN,NY,11207,3324285,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6611956350148,-73.8834248857253
BOULEVARD,46,1,BROOKLYN,797,SCHENCK AVENUE,797 SCHENCK AVENUE,BROOKLYN,NY,11207,3324285,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6609155930764,-73.8833760165414
BOULEVARD,46,2,BROOKLYN,817,SCHENCK AVENUE,817 SCHENCK AVENUE,BROOKLYN,NY,11207,3324293,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6604377558375,-73.8828661303214
BOULEVARD,46,2,BROOKLYN,829,SCHENCK AVENUE,829 SCHENCK AVENUE,BROOKLYN,NY,11207,3324293,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6601521766575,-73.8828210956405
BOULEVARD,46,3,BROOKLYN,2156,LINDEN BOULEVARD,2156 LINDEN BOULEVARD,BROOKLYN,NY,11207,3324289,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6614726002984,-73.8827793196952
BOULEVARD,46,4,BROOKLYN,807,SCHENCK AVENUE,807 SCHENCK AVENUE,BROOKLYN,NY,11207,3324292,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6609862567104,-73.8824277662442
BOULEVARD,46,5,BROOKLYN,725,STANLEY AVENUE,725 STANLEY AVENUE,BROOKLYN,NY,11207,3324294,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6605164438987,-73.8820728823757
BOULEVARD,46,6,BROOKLYN,2202,LINDEN BOULEVARD,2202 LINDEN BOULEVARD,BROOKLYN,NY,11207,3324290,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6619164251758,-73.881627838561
BOULEVARD,46,7,BROOKLYN,830,ASHFORD STREET,830 ASHFORD STREET,BROOKLYN,NY,11207,3324287,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6614510269749,-73.8812860346213
BOULEVARD,46,8,BROOKLYN,765,STANLEY AVENUE,765 STANLEY AVENUE,BROOKLYN,NY,11207,3324295,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6609904197543,-73.8809315419424
BOULEVARD,46,9,BROOKLYN,804,ASHFORD STREET,804 ASHFORD STREET,BROOKLYN,NY,11207,3324286,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6622924669225,-73.8808908819373
BOULEVARD,46,9,BROOKLYN,816,ASHFORD STREET,816 ASHFORD STREET,BROOKLYN,NY,11207,3324286,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6620130319724,-73.8808491510599
BOULEVARD,46,10,BROOKLYN,842,ASHFORD STREET,842 ASHFORD STREET,BROOKLYN,NY,11207,3324288,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.6615307443394,-73.88032570819
BOULEVARD,46,10,BROOKLYN,854,ASHFORD STREET,854 ASHFORD STREET,BROOKLYN,NY,11207,3324288,4355,1,3043550001,1110,BK82,East New York,5,42,60,19,8,40.661250547767,-73.8802774858827
BOULEVARD,46,11,BROOKLYN,845,SCHENCK AVENUE,845 SCHENCK AVENUE,BROOKLYN,NY,11207,3324162,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6597062380583,-73.8823256107733
BOULEVARD,46,11,BROOKLYN,857,SCHENCK AVENUE,857 SCHENCK AVENUE,BROOKLYN,NY,11207,3324162,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6594167684749,-73.8822806448901
BOULEVARD,46,12,BROOKLYN,881,SCHENCK AVENUE,881 SCHENCK AVENUE,BROOKLYN,NY,11207,3324276,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6589684562668,-73.8817674702408
BOULEVARD,46,12,BROOKLYN,893,SCHENCK AVENUE,893 SCHENCK AVENUE,BROOKLYN,NY,11207,3324276,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6586839338744,-73.8817224985049
BOULEVARD,46,13,BROOKLYN,738,STANLEY AVENUE,738 STANLEY AVENUE,BROOKLYN,NY,11207,3324277,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6600462331122,-73.8815292603677
BOULEVARD,46,13,BROOKLYN,740,STANLEY AVENUE,740 STANLEY AVENUE,BROOKLYN,NY,11207,3324277,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.659764194419,-73.8814940295258
BOULEVARD,46,14,BROOKLYN,359,WORTMAN AVENUE,359 WORTMAN AVENUE,BROOKLYN,NY,11207,3324279,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6593828395766,-73.8808097086836
BOULEVARD,46,14,BROOKLYN,357,WORTMAN AVENUE,357 WORTMAN AVENUE,BROOKLYN,NY,11207,3324279,4377,1,3043770001,1110,BK82,East New York,5,42,60,19,8,40.6591082116905,-73.8807647230672
