DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
AMSTERDAM,22,12,MANHATTAN,247,WEST 61ST DRIVE,247 WEST 61ST DRIVE,NEW YORK,NY,10023,1082585,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7731680270531,-73.9887745461808
AMSTERDAM,22,12,MANHATTAN,248,WEST 62ND STREET,248 WEST 62ND STREET,NEW YORK,NY,10023,1082585,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7734365352906,-73.9885809548277
AMSTERDAM,22,13,MANHATTAN,249,WEST 62ND STREET,249 WEST 62ND STREET,NEW YORK,NY,10023,1082586,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.773603427033,-73.9885240157272
AMSTERDAM,22,13,MANHATTAN,250,WEST 63RD STREET,250 WEST 63RD STREET,NEW YORK,NY,10023,1082586,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.773875613386,-73.9883304214535
AMSTERDAM ADDITION,187,1,MANHATTAN,240,WEST 65TH STREET,240 WEST 65TH STREET,NEW YORK,NY,10023,1030340,1156,20,1011560020,151,MN14,Lincoln Square,7,6,67,31,10,40.7748423318432,-73.9868736210036
ASTORIA,26,1,QUEENS,43942,ASTORIA BOULEVARD,4-21 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430788,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.773119353785,-73.9330095352537
ASTORIA,26,2,QUEENS,28-02,8TH STREET,28-02 8TH STREET,ASTORIA,NY,11102,4430778,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7734401362978,-73.9326755978597
ASTORIA,26,3,QUEENS,27-10,8TH STREET,27-10 8TH STREET,ASTORIA,NY,11102,4430777,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7739283211622,-73.9324334174097
ASTORIA,26,4,QUEENS,4-10,27TH AVENUE,4-10 27TH AVENUE,ASTORIA,NY,11102,4430782,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7741657413718,-73.9330782102657
ASTORIA,26,5,QUEENS,4-03,ASTORIA BOULEVARD,4-03 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430787,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7734195814161,-73.9338651342169
ASTORIA,26,6,QUEENS,3-20,27TH AVENUE,3-20 27TH AVENUE,ASTORIA,NY,11102,4430781,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7741095039989,-73.9339693762371
ASTORIA,26,7,QUEENS,3-04,27TH AVENUE,3-04 27TH AVENUE,ASTORIA,NY,11102,4430780,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7745779814886,-73.9343298879265
ASTORIA,26,8,QUEENS,2-10,27TH AVENUE,2-10 27TH AVENUE,ASTORIA,NY,11102,4430779,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7744442204616,-73.9350889876803
